b,AvgB,Th,AvgL,AvgTime
4,2,2,74.0,3.54648434211
4,2,2,75.0,3.53368727273
4,2,2,76.0,3.51893076923
4,2,2,77.0,3.5065435443
4,2,2,78.0,3.495351875
4,2,2,79.0,3.48128320988
4,2,2,80.0,3.47082597561
4,2,2,81.0,3.45796240964
4,2,2,82.0,3.44641309524
4,2,2,83.0,3.43532141176
4,2,2,84.0,3.42627581395
4,2,2,85.0,3.41495471264
4,2,2,86.0,3.41421
4,2,2,87.0,3.44070370786
4,2,2,88.0,3.45983544444
4,2,2,89.0,3.48538285714
4,2,2,90.0,3.50826934783
4,2,2,91.0,3.52863634409
4,2,2,92.0,3.54996819149
4,2,2,93.0,3.568852
4,2,2,94.0,3.58829197917
4,2,2,95.0,3.60896463918
4,2,2,96.0,3.62817132653
4,2,2,97.0,3.64458979798
4,2,2,98.0,3.6645225
4,2,2,99.0,3.68118277228
4,5,2,3.0,1.4999175
4,5,2,4.0,1.61077888889
4,5,2,5.0,1.699286
4,5,2,6.0,1.86212727272
4,5,2,7.0,2.16652083333
4,5,2,8.0,2.42429923077
4,5,2,9.0,2.50046285714
4,5,2,10.0,2.567016
4,5,2,11.0,2.62543375
4,5,2,12.0,2.67710176471
4,5,2,13.0,2.72236444444
4,5,2,14.0,2.76334210526
4,5,2,15.0,2.800709
4,5,2,16.0,2.83295666667
4,5,2,17.0,2.86341818182
4,5,2,18.0,2.84850869565
4,5,2,19.0,2.8324975
4,5,2,20.0,2.8206692
4,5,2,21.0,2.80877346154
4,5,2,22.0,2.83437740741
4,5,2,23.0,2.92833964286
4,5,2,24.0,3.0194737931
4,5,2,25.0,3.10243733333
4,5,2,26.0,3.17915645161
4,5,2,27.0,3.2522290625
4,5,2,28.0,3.31812666667
4,5,2,29.0,3.38184029412
4,5,2,30.0,3.44523
4,5,2,31.0,3.50083138889
4,5,2,32.0,3.55461864865
4,5,2,33.0,3.55305605263
4,5,2,34.0,3.55170820513
4,5,2,35.0,3.54944375
4,5,2,36.0,3.54861219512
4,5,2,37.0,3.54828857143
4,5,2,38.0,3.54619813954
4,5,2,39.0,3.54440204545
4,5,2,40.0,3.54569777778
4,5,2,41.0,3.54460391304
4,5,2,42.0,3.54319787234
4,5,2,43.0,3.54162666667
4,5,2,44.0,3.54052040816
4,5,2,45.0,3.5406866
4,5,2,46.0,3.53777431373
4,5,2,47.0,3.53988211538
4,5,2,48.0,3.53787943396
4,5,2,49.0,3.53792037037
4,5,2,50.0,3.53655927273
4,5,2,51.0,3.53547982143
4,5,2,52.0,3.53578438596
4,5,2,53.0,3.53590655172
4,5,2,54.0,3.53331135593
4,5,2,55.0,3.53456416667
4,5,2,56.0,3.53191770492
4,5,2,57.0,3.53212935484
4,5,2,58.0,3.53182761905
4,5,2,59.0,3.53042578125
4,5,2,60.0,3.53008307692
4,5,2,61.0,3.52955984849
4,5,2,62.0,3.53053776119
4,5,2,63.0,3.52814911765
4,5,2,64.0,3.53068753623
4,5,2,65.0,3.52740528571
4,5,2,66.0,3.51417450704
4,5,2,67.0,3.50081805556
4,5,2,68.0,3.48513657534
4,5,2,69.0,3.47343405405
4,5,2,70.0,3.45782133333
4,5,2,71.0,3.44758605263
4,5,2,72.0,3.43604727273
4,5,2,73.0,3.42242102564
4,5,2,74.0,3.41130949367
4,5,2,75.0,3.4011985
4,5,2,76.0,3.38761481481
4,5,2,77.0,3.37839036585
4,5,2,78.0,3.3678226506
4,5,2,79.0,3.35734488095
4,5,2,80.0,3.34740764706
4,5,2,81.0,3.33905337209
4,5,2,82.0,3.32841988506
4,5,2,83.0,3.31760011364
4,5,2,84.0,3.3098988764
4,5,2,85.0,3.29931877778
4,5,2,86.0,3.30268505495
4,5,2,87.0,3.32792315217
4,5,2,88.0,3.35011935484
4,5,2,89.0,3.3743406383
4,5,2,90.0,3.39667242105
4,5,2,91.0,3.41642989583
4,5,2,92.0,3.43855948454
4,5,2,93.0,3.45989867347
4,5,2,94.0,3.47837363636
4,5,2,95.0,3.4996907
4,5,2,96.0,3.51728227723
4,5,2,97.0,3.54243441176
4,5,2,98.0,3.55387815534
4,5,2,99.0,3.57677375
5,2,2,3.0,2.298988
5,2,2,4.0,2.44821
5,2,2,5.0,2.57089
5,2,2,6.0,2.5627125
5,2,2,7.0,2.55574
5,2,2,8.0,2.550793
5,2,2,9.0,2.63434090909
5,2,2,10.0,2.87353
5,2,2,11.0,3.07542615385
5,2,2,12.0,3.25154571429
5,2,2,13.0,3.33432533333
5,2,2,14.0,3.343846875
