b,AvgB,Th,AvgL,AvgTime
3,7,1,24.0,2.21618064516
3,7,1,25.0,2.25168125
3,7,1,26.0,2.28253939394
3,7,1,27.0,2.31881176471
3,7,1,28.0,2.32952571429
3,7,1,29.0,2.30455
3,7,1,30.0,2.28546486486
3,7,1,31.0,2.26737894737
3,7,1,32.0,2.24215384615
3,7,1,33.0,2.22241
3,7,1,34.0,2.20556097561
3,7,1,35.0,2.18813333333
3,7,1,36.0,2.17781860465
3,7,1,37.0,2.15515454545
3,7,1,38.0,2.14693777778
3,7,1,39.0,2.12394347826
3,7,1,40.0,2.11509787234
3,7,1,41.0,2.10286666667
3,7,1,42.0,2.13166530612
3,7,1,43.0,2.153024
3,7,1,44.0,2.19784313725
3,7,1,45.0,2.21305384615
3,7,1,46.0,2.23641509434
3,7,1,47.0,2.27148148148
3,7,1,48.0,2.27937818182
3,7,1,49.0,2.29727142857
3,7,1,50.0,2.31587368421
3,7,1,51.0,2.34417241379
3,7,1,52.0,2.37142033898
3,7,1,53.0,2.37646333333
3,7,1,54.0,2.40204918033
3,7,1,55.0,2.42209032258
3,7,1,56.0,2.43135873016
3,7,1,57.0,2.453390625
3,7,1,58.0,2.46545230769
3,7,1,59.0,2.48768484848
3,7,1,60.0,2.50484477612
3,7,1,61.0,2.51050588235
3,7,1,62.0,2.51944927536
3,7,1,63.0,2.54358857143
3,7,2,3.0,1.80334
3,7,2,4.0,1.88947272727
3,7,2,5.0,1.97323333333
3,7,2,6.0,2.06712307692
3,7,2,7.0,2.14412857143
3,7,2,8.0,2.16561333333
3,7,2,9.0,2.1901875
3,7,2,10.0,2.31808235294
3,7,2,11.0,2.49475555556
3,7,2,12.0,2.65742105263
3,7,2,13.0,2.79888
3,7,2,14.0,2.88304761905
3,7,2,15.0,2.909
3,7,2,16.0,2.93224347826
3,7,2,17.0,2.96021666667
3,7,2,18.0,2.98252
3,7,2,19.0,3.00315384615
3,7,2,20.0,3.0204
3,7,2,21.0,3.03076428571
3,7,2,22.0,3.05033103448
3,7,2,23.0,3.05841333333
3,7,2,24.0,3.0840516129
3,7,2,25.0,3.09418125
3,7,2,26.0,3.10240606061
3,7,2,27.0,3.11292941176
3,7,2,28.0,3.18888571429
3,7,2,29.0,3.24189444444
3,7,2,30.0,3.31811351351
3,7,2,31.0,3.37407894737
3,7,2,32.0,3.41975384615
3,7,2,33.0,3.471295
3,7,2,34.0,3.51779512195
3,7,2,35.0,3.55796666667
3,7,2,36.0,3.6226744186
3,7,2,37.0,3.65180454545
3,7,2,38.0,3.70105333333
3,7,2,39.0,3.72582608696
3,7,2,40.0,3.77092765957
3,7,2,41.0,3.78386666667
3,7,2,42.0,3.77909387755
3,7,2,43.0,3.778252
3,7,2,44.0,3.77632156863
3,7,2,45.0,3.77213076923
3,7,2,46.0,3.76205283019
3,7,2,47.0,3.76364444444
3,7,2,48.0,3.75201818182
3,7,2,49.0,3.74644642857
3,7,2,50.0,3.74166315789
3,7,2,51.0,3.74104482759
3,7,2,52.0,3.73646440678
3,7,2,53.0,3.72990666667
3,7,2,54.0,3.7288557377
3,7,2,55.0,3.7282516129
3,7,2,56.0,3.71633650794
3,7,2,57.0,3.71968125
3,7,2,58.0,3.71307692308
3,7,2,59.0,3.71095151515
3,7,2,60.0,3.7121880597
3,7,2,61.0,3.70341470588
3,7,2,62.0,3.69655072464
3,7,2,63.0,3.70134857143
3,7,4,3.0,2.40334
3,7,4,4.0,2.61674545455
3,7,4,5.0,2.80656666667
3,7,4,6.0,3.14527692308
3,7,4,7.0,3.57492857143
3,7,4,8.0,3.69574666667
3,7,4,9.0,3.8169375
3,7,4,10.0,3.90878823529
3,7,4,11.0,4.00065555556
3,7,4,12.0,4.07809473684
3,7,4,13.0,4.15153
3,7,4,14.0,4.21638095238
3,7,4,15.0,4.27263636364
3,7,4,16.0,4.32354782609
3,7,4,17.0,4.37688333333
3,7,4,18.0,4.42252
3,7,4,19.0,4.65907692308
3,7,4,20.0,4.91551111111
3,7,4,21.0,5.09206428571
3,7,4,22.0,5.25442758621
